timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1448960590979,1489,Suggest Request,200,OK,Thread-Gruppe 1-1,text,false,327,300,300,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Int,1489,0,0
1448960591038,1471,Suggest Request,200,OK,Thread-Gruppe 1-18,text,false,2265,300,300,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Aufgabensammlu,1471,0,0
1448960591042,1468,Suggest Request,200,OK,Thread-Gruppe 1-19,text,false,2265,300,300,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Aufgabensammlun,1468,0,0
1448960590981,1531,Suggest Request,200,OK,Thread-Gruppe 1-2,text,false,327,300,300,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Inte,1531,0,0
1448960591160,1741,Suggest Request,200,OK,Thread-Gruppe 1-52,text,false,1779,300,300,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Plurali,1741,0,0
1448960591074,1834,Suggest Request,200,OK,Thread-Gruppe 1-28,text,false,357,300,300,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Fock,1834,0,0
1448960591027,1881,Suggest Request,200,OK,Thread-Gruppe 1-15,text,false,2266,300,300,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Aufgabensam,1881,0,0
1448960591062,1848,Suggest Request,200,OK,Thread-Gruppe 1-25,text,false,2231,300,300,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Gustlof,1848,0,0
1448960591109,1804,Suggest Request,200,OK,Thread-Gruppe 1-38,text,false,2115,300,300,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Urolog,1804,0,0
1448960591145,1769,Suggest Request,200,OK,Thread-Gruppe 1-48,text,false,357,300,300,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Plu,1769,0,0
1448960591021,1893,Suggest Request,200,OK,Thread-Gruppe 1-13,text,false,2415,300,300,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Aufgabens,1893,0,0
1448960591122,1793,Suggest Request,200,OK,Thread-Gruppe 1-42,text,false,328,300,300,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Chem,1793,0,0
1448960591141,1776,Suggest Request,200,OK,Thread-Gruppe 1-47,text,false,298,300,300,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Chemistry,1776,0,0
1448960591002,1915,Suggest Request,200,OK,Thread-Gruppe 1-8,text,false,298,300,300,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Aufg,1915,0,0
1448960591045,1874,Suggest Request,200,OK,Thread-Gruppe 1-20,text,false,2266,300,300,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Aufgabensammlung,1874,0,0
1448960591034,1885,Suggest Request,200,OK,Thread-Gruppe 1-17,text,false,2266,300,300,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Aufgabensamml,1885,0,0
1448960591031,1890,Suggest Request,200,OK,Thread-Gruppe 1-16,text,false,2266,300,300,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Aufgabensamm,1890,0,0
1448960591059,1865,Suggest Request,200,OK,Thread-Gruppe 1-24,text,false,2405,300,300,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Gustlo,1865,0,0
1448960591080,1846,Suggest Request,200,OK,Thread-Gruppe 1-30,text,false,2727,300,300,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Focke-,1846,0,0
